read,length,D1,D2,bin_id
25ded8da-445f-471c-be7e-e10a1a1b1095,1484,5.6923056,5.8060474,0
7cd58be7-67bc-4b98-96a4-861077b86da3,1498,3.34627,7.075789,1
36242747-d041-488d-b436-0ed36bf6aa07,1446,5.4793115,3.9945602,0
86a81a86-8e2d-4dd6-8cd4-daa9a897c8b1,1447,1.4506216,4.953784,1
8f506f0f-84ce-4ac2-8fa9-9155d5004ff3,1454,1.8019769,4.846531,1
704ab2fb-b22f-4a1c-928d-71c9ccaaba3a,1514,6.155783,5.926699,0
8f0c68d6-e1fb-4f4d-8757-f93e84789075,1475,5.4280434,4.8206654,0
e8b8c923-2062-42c3-8177-855e239b9fbd,1447,0.05601915,6.0685573,1
d95f18e7-3e91-4ead-812f-63e2d380304e,1423,5.165457,4.5642157,0
2c65bc9b-2293-48d8-8d3e-eeaaf21a1c0b,1477,4.6810427,5.256629,0
1674e2e3-fbd7-46ae-b52e-67e3b2929576,1418,5.37455,3.9827385,0
2f65a06d-ee87-4a3c-8abb-97b2bec1a3f9,1462,2.7136207,5.4180145,1
1e23bf0f-5728-425a-8760-89bc266afb6e,1468,2.7143521,5.066018,1
69db68c5-ebb2-4268-95b4-ff9fd72b75e9,1479,5.819878,4.8365264,0
8bc1d08f-b498-41b0-a9b6-1d6618bccd08,1464,5.0185165,5.463539,0
2cbd38e4-6a2d-4fd8-bae3-7f17f9d512ab,1470,5.181157,4.5816402,0
902d7c62-7b1a-453a-a363-632011150cf9,1480,4.549637,5.4519644,0
7798fa67-47e5-4330-9cce-70b9dd3f04e5,1477,5.424352,4.884676,0
283e0c16-c984-4479-9bd5-fea0dcc15bf7,1488,6.502361,5.3137937,0
019a1435-8ab4-470e-a125-04eed9cf5ae2,1441,3.092575,7.286725,1
c3d3d624-56a6-4b5e-aa0d-172eda1385fb,1457,1.4644319,5.1572056,1
6f0af40e-bdfd-4492-ae00-d00a50e9f266,1472,5.2957726,6.0047994,0
0915a1f8-3bed-42a2-b878-7fcc38d4e6ca,1455,2.7723641,6.3821483,1
3b5d61e1-3186-4fa7-85c8-b810dba2cae3,1464,5.3192277,5.478058,0
89fbc2d5-f429-4c5e-9776-55b0670e91f2,1447,2.8489664,7.125145,1
4fac09b6-f68d-4959-b239-73c2ec86a7a5,1452,1.0369909,7.4838405,1
0b386bee-f91b-407a-b04e-6450edc41653,1496,6.996613,5.33486,0
843266bd-5788-4b62-9595-7a236f6bd4e5,1408,7.9710865,4.4871054,0
b5aa11a9-34c6-44bd-92c8-2d52ad7a37ed,1493,1.2690349,5.0139885,1
65eaae48-aabe-4a14-9d22-58a3345a1a14,1460,2.5512874,7.524414,1
b1c437df-4f2f-4a65-8b01-eab4f6539b84,1501,5.8917537,3.6133175,0
991d33a5-88ea-46d6-9036-5aded2d8f42c,1537,7.063624,5.85454,0
a4d18c7a-f292-4507-ad1c-f92fc4031d4b,1463,2.528475,5.459731,1
8780420b-4f8a-40a8-8bcd-1d73d487a185,1468,2.313997,7.5155754,1
44719b92-5402-4b1d-b4e8-f03440251fd3,1411,1.3399565,4.921969,1
862c1edb-4f8e-43b4-baa1-c4ba04ce3ecb,1484,5.871147,4.274261,0
df3ad80f-6261-4cbd-ab38-a644851027ea,1491,2.5692074,5.244931,1
0033734a-cb7c-40ad-9891-165887bdb451,1484,1.8963158,4.8968334,1
fcd95183-fabd-4414-8f03-f888b3027bf4,1463,6.257239,4.480538,0
4502f8d3-0008-41ea-823f-8b9d2dbeba1a,1511,6.4050646,3.7381818,0
55fc904a-7096-474f-98f5-3f31e7dec527,1477,7.6370664,5.1093044,0
276a494f-ee95-41eb-a803-ae681991b236,1558,7.2801614,5.125103,0
3e753663-78e3-426b-be85-2d62b7aa30f3,1440,0.72573096,7.2086287,1
e5c6bf6b-9bac-4815-8646-093e2dead061,1453,0.53846174,5.8109107,1
6b90be05-01a8-4aed-a3e6-b5717f4f01dd,1489,1.0227809,5.395751,1
60a6b49f-fab1-464c-9296-af012e9261b6,1459,2.9415045,7.2367897,1
941aaa4a-48da-484a-9fca-60818f1835b1,1451,3.0663168,6.8087816,1
405e8549-68cf-43e3-860c-1dd36be29064,1470,7.112822,5.7514796,0
1cb8101b-7198-4bbb-8111-33bdc4f895ee,1496,7.647179,4.0144224,0
20afd985-379a-4d84-8d49-c468618356ab,1464,3.1352484,7.2986665,1
